date,total_events,status
2019-01-01,87330,ok
2019-01-02,128438,ok
2019-01-03,151902,ok
2019-01-04,150275,ok
2019-01-05,97646,ok
2019-01-06,90044,ok
2019-01-07,143369,ok
2019-01-08,172619,ok
2019-01-09,179524,ok
2019-01-10,178069,ok
2019-01-11,171765,ok
2019-01-12,113269,ok
2019-01-13,99453,ok
2019-01-14,163386,ok
2019-01-15,186182,ok
2019-01-16,190415,ok
2019-01-17,187881,ok
2019-01-18,183600,ok
2019-01-19,122239,ok
2019-01-20,100257,ok
2019-01-21,152609,ok
2019-01-22,178049,ok
2019-01-23,187571,ok
2019-01-24,194040,ok
2019-01-25,181627,ok
2019-01-26,115073,ok
2019-01-27,100199,ok
2019-01-28,162778,ok
2019-01-29,194275,ok
2019-01-30,193258,ok
2019-01-31,189310,ok
2019-02-01,183755,ok
2019-02-02,113547,ok
2019-02-03,101949,ok
2019-02-04,163180,ok
2019-02-05,188833,ok
2019-02-06,196629,ok
2019-02-07,188393,ok
2019-02-08,182693,ok
2019-02-09,117580,ok
2019-02-10,104687,ok
2019-02-11,168828,ok
2019-02-12,193566,ok
2019-02-13,201064,ok
2019-02-14,206976,ok
2019-02-15,196810,ok
2019-02-16,136098,ok
2019-02-17,103355,ok
2019-02-18,165863,ok
2019-02-19,196440,ok
2019-02-20,208690,ok
2019-02-21,204130,ok
2019-02-22,195509,ok
2019-02-23,126028,ok
2019-02-24,111995,ok
2019-02-25,177704,ok
2019-02-26,200978,ok
2019-02-27,219764,ok
2019-02-28,216020,ok
2019-03-01,198112,ok
2019-03-02,126470,ok
2019-03-03,107801,ok
2019-03-04,177618,ok
2019-03-05,191841,ok
2019-03-06,195920,ok
2019-03-07,198014,ok
2019-03-08,189491,ok
2019-03-09,121200,ok
2019-03-10,104689,ok
2019-03-11,174021,ok
2019-03-12,195656,ok
2019-03-13,196746,ok
2019-03-14,205015,ok
2019-03-15,197076,ok
2019-03-16,122257,ok
2019-03-17,109071,ok
2019-03-18,184499,ok
2019-03-19,208372,ok
2019-03-20,205926,ok
2019-03-21,193171,ok
2019-03-22,187355,ok
2019-03-23,122933,ok
2019-03-24,106273,ok
2019-03-25,183055,ok
2019-03-26,202167,ok
2019-03-27,202799,ok
2019-03-28,194716,ok
2019-03-29,193060,ok
2019-03-30,117283,ok
2019-03-31,103862,ok
2019-04-01,166698,ok
2019-04-02,184836,ok
2019-04-03,194130,ok
2019-04-04,195123,ok
2019-04-05,175653,ok
2019-04-06,121280,ok
2019-04-07,104829,ok
2019-04-08,174208,ok
2019-04-09,191591,ok
2019-04-10,195329,ok
2019-04-11,206896,ok
2019-04-12,191742,ok
2019-04-13,115590,ok
2019-04-14,100375,ok
2019-04-15,164556,ok
2019-04-16,181439,ok
2019-04-17,194020,ok
2019-04-18,188878,ok
2019-04-19,153155,ok
2019-04-20,103334,ok
2019-04-21,95794,ok
2019-04-22,146849,ok
2019-04-23,179237,ok
2019-04-24,196126,ok
2019-04-25,195837,ok
2019-04-26,178876,ok
2019-04-27,110058,ok
2019-04-28,100781,ok
2019-04-29,166836,ok
2019-04-30,184403,ok
2019-05-01,191570,ok
2019-05-02,195194,ok
2019-05-03,178238,ok
2019-05-04,111498,ok
2019-05-05,103217,ok
2019-05-06,158154,ok
2019-05-07,186515,ok
2019-05-08,192322,ok
2019-05-09,188309,ok
2019-05-10,179711,ok
2019-05-11,107696,ok
2019-05-12,96301,ok
2019-05-13,167516,ok
2019-05-14,193987,ok
2019-05-15,194376,ok
2019-05-16,191153,ok
2019-05-17,178275,ok
2019-05-18,107703,ok
2019-05-19,94918,ok
2019-05-20,159994,ok
2019-05-21,180705,ok
2019-05-22,190492,ok
2019-05-23,190975,ok
2019-05-24,180028,ok
2019-05-25,106578,ok
2019-05-26,99071,ok
2019-05-27,134869,ok
2019-05-28,171317,ok
2019-05-29,183597,ok
2019-05-30,187683,ok
2019-05-31,176780,ok
2019-06-01,112581,ok
2019-06-02,99138,ok
2019-06-03,163708,ok
2019-06-04,182105,ok
2019-06-05,187989,ok
2019-06-06,188724,ok
2019-06-07,168925,ok
2019-06-08,104875,ok
2019-06-09,93828,ok
2019-06-10,154994,ok
2019-06-11,175865,ok
2019-06-12,191480,ok
2019-06-13,193674,ok
2019-06-14,179068,ok
2019-06-15,108534,ok
2019-06-16,95289,ok
2019-06-17,155458,ok
2019-06-18,182183,ok
2019-06-19,199103,ok
2019-06-20,193377,ok
2019-06-21,178079,ok
2019-06-22,112307,ok
2019-06-23,98566,ok
2019-06-24,164179,ok
2019-06-25,185999,ok
2019-06-26,193934,ok
2019-06-27,194324,ok
2019-06-28,191171,ok
2019-06-29,114176,ok
2019-06-30,102012,ok
2019-07-01,163531,ok
2019-07-02,175221,ok
2019-07-03,176753,ok
2019-07-04,149263,ok
2019-07-05,143312,ok
2019-07-06,94399,ok
2019-07-07,90885,ok
2019-07-08,156097,ok
2019-07-09,176207,ok
2019-07-10,181352,ok
2019-07-11,179786,ok
2019-07-12,167250,ok
2019-07-13,107400,ok
2019-07-14,91449,ok
2019-07-15,150434,ok
2019-07-16,174341,ok
2019-07-17,183751,ok
2019-07-18,179267,ok
2019-07-19,167815,ok
2019-07-20,108026,ok
2019-07-21,96740,ok
2019-07-22,157280,ok
2019-07-23,179612,ok
2019-07-24,184798,ok
2019-07-25,179639,ok
2019-07-26,153805,ok
2019-07-27,101175,ok
2019-07-28,95340,ok
2019-07-29,156431,ok
2019-07-30,170725,ok
2019-07-31,177699,ok
2019-08-01,176068,ok
2019-08-02,168717,ok
2019-08-03,101142,ok
2019-08-04,96254,ok
2019-08-05,151781,ok
2019-08-06,173746,ok
2019-08-07,177522,ok
2019-08-08,171611,ok
2019-08-09,165084,ok
2019-08-10,103144,ok
2019-08-11,88313,ok
2019-08-12,139990,ok
2019-08-13,153638,ok
2019-08-14,164976,ok
2019-08-15,168814,ok
2019-08-16,164891,ok
2019-08-17,106019,ok
2019-08-18,96319,ok
2019-08-19,159554,ok
2019-08-20,173291,ok
2019-08-21,185306,ok
2019-08-22,179783,ok
2019-08-23,169104,ok
2019-08-24,109143,ok
2019-08-25,100388,ok
2019-08-26,157071,ok
2019-08-27,174570,ok
2019-08-28,179806,ok
2019-08-29,177423,ok
2019-08-30,165668,ok
2019-08-31,101916,ok
2019-09-01,95092,ok
2019-09-02,130680,ok
2019-09-03,164988,ok
2019-09-04,183724,ok
2019-09-05,181346,ok
2019-09-06,168054,ok
2019-09-07,102764,ok
2019-09-08,94990,ok
2019-09-09,160943,ok
2019-09-10,177536,ok
2019-09-11,183264,ok
2019-09-12,179898,ok
2019-09-13,167328,ok
2019-09-14,102061,ok
2019-09-15,95422,ok
2019-09-16,167318,ok
2019-09-17,177760,ok
2019-09-18,187176,ok
2019-09-19,186399,ok
2019-09-20,179820,ok
2019-09-21,108424,ok
2019-09-22,101169,ok
2019-09-23,177482,ok
2019-09-24,190993,ok
2019-09-25,197791,ok
2019-09-26,185674,ok
2019-09-27,182598,ok
2019-09-28,110060,ok
2019-09-29,92137,ok
2019-09-30,153234,ok
2019-10-01,172848,ok
2019-10-02,184819,ok
2019-10-03,184279,ok
2019-10-04,171751,ok
2019-10-05,103927,ok
2019-10-06,91518,ok
2019-10-07,158841,ok
2019-10-08,173057,ok
2019-10-09,183090,ok
2019-10-10,189503,ok
2019-10-11,185073,ok
2019-10-12,109703,ok
2019-10-13,98477,ok
2019-10-14,156240,ok
2019-10-15,181378,ok
2019-10-16,192759,ok
2019-10-17,187426,ok
2019-10-18,175689,ok
2019-10-19,107015,ok
2019-10-20,94077,ok
2019-10-21,157126,ok
2019-10-22,178042,ok
2019-10-23,186775,ok
2019-10-24,182818,ok
2019-10-25,166021,ok
2019-10-26,103798,ok
2019-10-27,95306,ok
2019-10-28,155792,ok
2019-10-29,174199,ok
2019-10-30,173808,ok
2019-10-31,172037,ok
2019-11-01,153607,ok
2019-11-02,103743,ok
2019-11-03,87080,ok
2019-11-04,153204,ok
2019-11-05,172432,ok
2019-11-06,179114,ok
2019-11-07,177659,ok
2019-11-08,168952,ok
2019-11-09,105861,ok
2019-11-10,89713,ok
2019-11-11,150802,ok
2019-11-12,172401,ok
2019-11-13,177406,ok
2019-11-14,180761,ok
2019-11-15,170885,ok
2019-11-16,106039,ok
2019-11-17,91867,ok
2019-11-18,153319,ok
2019-11-19,171870,ok
2019-11-20,183512,ok
2019-11-21,182728,ok
2019-11-22,166184,ok
2019-11-23,105762,ok
2019-11-24,89481,ok
2019-11-25,147572,ok
2019-11-26,166565,ok
2019-11-27,165222,ok
2019-11-28,134572,ok
2019-11-29,124461,ok
2019-11-30,86996,ok
2019-12-01,84737,ok
2019-12-02,146353,ok
2019-12-03,172876,ok
2019-12-04,180185,ok
2019-12-05,170984,ok
