date,conflict_events,weighted_events,avg_goldstein,total_mentions,gdelt_total,events_per_100k,weighted_per_100k,goldstein_inv,idx_count,idx_weighted,idx_goldstein,MTI,MTI_smooth,category,13,14,15,16,17,18,19
2019-01-01,55,122.6,-7.349090909090909,267,4746452,1.1587602697762456,2.582981983173958,7.349090909090909,80.38476861430834,79.81770789462655,100.75509283934115,84.17530309947401,84.17530309947401,Low,16,0,11,0,5,2,21
2019-02-01,45,91.2,-6.855555555555555,284,4771064,0.9431858386305444,1.9115232996245703,6.855555555555555,65.43007848659582,59.0687079341239,93.98878650566391,67.96113481417348,76.06821895682374,Low,12,5,3,8,4,0,13
2019-03-01,69,170.8,-7.839130434782608,363,5216469,1.3227338262721393,3.274245471409875,7.839130434782608,91.75983621162324,101.17870365133568,107.4734718220991,99.61199705357464,83.91614498907404,Low,13,4,4,2,13,1,32
2019-04-01,122,283.7,-7.6532786885245905,1413,4858459,2.511084275899004,5.839300074365143,7.6532786885245905,174.19731566059548,180.44243075673,104.92546824176286,163.46550372489622,110.3462118642148,Medium,26,17,5,6,13,3,52
2019-05-01,80,193.1,-7.720000000000001,1014,4978742,1.6068316052528933,3.878489787179171,7.720000000000001,111.46808374380402,119.85068688901899,105.84020885597292,114.53381033884527,125.87043703910537,Medium,12,6,3,13,11,1,34
2019-06-01,98,180.7,-6.626530612244898,971,4665645,2.100459850674451,3.872990765478299,6.626530612244898,145.7117433899542,119.68075952960046,90.84888393659301,121.72367956910509,133.24099787761554,Medium,37,16,8,5,6,1,25
2019-07-01,84,210.2,-7.680952380952381,431,4669783,1.7987987878665883,4.501279823923295,7.680952380952381,124.78510708196376,139.09575849863324,105.30487101201847,128.04438557630942,121.43395849475326,Medium,12,2,10,8,12,0,40
2019-08-01,75,149.6,-6.876,461,4601052,1.6300619945177752,3.2514303250647894,6.876,113.07960729581399,100.47368414349248,94.26907721420594,103.01453970333162,117.59420161624871,Medium,19,9,12,3,12,0,20
2019-09-01,35,75.8,-7.051428571428572,625,4586125,0.7631715227997493,1.6528114693777427,7.051428571428572,52.94224169865027,51.074155347213825,96.67418040582575,60.75458626436714,97.27117051466941,Low,11,4,1,2,3,1,13
2019-10-01,49,108.7,-6.8979591836734695,346,4847192,1.0108945550330997,2.242535472083631,6.8979591836734695,70.12712380576455,69.29744087264696,94.57013480310576,74.600884538674,79.45667016879092,Low,3,13,0,5,13,0,15
2019-11-01,45,108.2,-7.446666666666667,253,4319770,1.041722128724446,2.5047629850663347,7.446666666666667,72.26567432631177,77.40063290787309,102.09284394829167,80.79858754148842,72.05135278150986,Low,8,0,6,1,12,0,18
2019-12-01,57,134.2,-7.531578947368422,567,4041115,1.4105018045762123,3.320865652177679,7.531578947368422,97.8484196846145,102.61933157470462,103.25698041511949,101.31558777576056,85.57168661864101,Medium,6,5,8,3,12,3,20
2020-01-01,88,202.2,-7.3784090909090905,663,4700510,1.8721372787208197,4.301660883606247,7.3784090909090905,129.87269747628952,132.92725776101582,101.15704134800873,125.65684639299651,102.59034057008184,Medium,13,13,6,8,11,5,32
2020-02-01,58,115.8,-6.01896551724138,690,4378935,1.3245229719098366,2.64447862322688,6.01896551724138,91.88395166660976,81.71803893999203,82.5192444872703,84.92805386743301,103.9668293453967,Low,6,5,5,24,6,3,9
2020-03-01,28,73.0,-7.521428571428571,2487,4394035,0.637227514118572,1.6613431618091343,7.521428571428571,44.20533531666861,51.337796417407745,103.11782006415571,59.55406281653559,90.04632102565506,Low,3,1,2,2,6,0,14
2020-04-01,64,150.7,-7.621875,498,3722930,1.7190761040363371,4.047887013723062,7.621875,119.25463657813482,125.08529496391768,104.49492770390137,119.21802399617955,87.90004689338274,Medium,5,16,4,2,7,5,25
2020-05-01,94,234.3,-7.528723404255319,1167,3727164,2.5220247888206693,6.286280936390241,7.528723404255319,174.95627385295717,194.25475624409867,103.21783128565212,170.25782653506693,116.3433044492607,Medium,12,5,8,2,26,0,41
2020-06-01,94,207.2,-7.413829787234042,702,4055243,2.317986862932752,5.109434872336873,7.413829787234042,160.801886712802,157.88858877198643,101.64265454708345,147.5133913092505,145.66308061349898,Medium,19,10,12,3,16,2,32
2020-07-01,227,482.8,-7.25022026431718,2199,3987925,5.692183278271281,12.106546637662444,7.25022026431718,394.87445994539223,374.1089986040893,99.39958899315253,325.3967550842928,214.38932430953673,Severe,42,17,51,22,19,5,71
